,names,DominantPollutant,aqi,PM10,dew,humidity,NO2,PM2,SO2,CO,O3,URL,Latitude,Longitude,datetime,ptu_id_1,ptu_id_2,ptu_id_3,ptu_id_4,ptu_id_5,ptu_id_6,label_1,label_2,label_3,label_4,label_5,label_6,ptu_ids,sample_values,ptu_labels
10,AMMAN,pm10,33,33,14.0,72.0,7.7,0,1.6,0.0,0.0,https://api.waqi.info/feed/AMMAN/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,31.93544,35.94458,2020-04-21 22:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[0.0,7.7,0.0,33,0,1.6]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
11,Amritsar,pm10,34,34,16.0,54.5875,4.6,28,4.9,7.0,17.5,https://api.waqi.info/feed/Amritsar/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,31.6199803,74.8764849,2020-04-22 04:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[7.0,4.6,17.5,34,28,4.9]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
12,ANKARA,pm25,63,29,0.0,0.0,19.3,63,5.1,9.9,16.8,https://api.waqi.info/feed/ANKARA/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,39.92727454762165,32.85941127954306,2020-04-22 00:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[9.9,19.3,16.8,29,63,5.1]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
13,Anshan,pm10,118,118,0.0,59.0,19.2,102,20.8,29.0,15.9,https://api.waqi.info/feed/Anshan/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,41.108546,122.994646,2020-04-22 06:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[29.0,19.2,15.9,118,102,20.8]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
14,BAGHDAD,pm25,114,0,13.0,47.0,0.0,114,0.0,0.0,0.0,https://api.waqi.info/feed/BAGHDAD/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,33.3128,44.3615,2020-04-22 01:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[0.0,0.0,0.0,0,114,0.0]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
15,Bangalore,o3,13,23,12.5,79.0,5.0,53,0.0,4.4,13.3,https://api.waqi.info/feed/Bangalore/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,12.920984,77.584908,2020-04-22 04:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[4.4,5.0,13.3,23,53,0.0]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
16,BANGKOK,pm25,65,30,0.0,84.0,1.8,65,0.6,0.1,11.9,https://api.waqi.info/feed/BANGKOK/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,13.7563309,100.5017651,2020-04-22 04:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[0.1,1.8,11.9,30,65,0.6]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
17,Baotou,pm25,78,63,0.0,22.0,30.7,78,11.7,9.1,12.2,https://api.waqi.info/feed/Baotou/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,40.657449,109.840347,2020-04-22 06:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[9.1,30.7,12.2,63,78,11.7]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
18,Barcelona,pm10,5,5,0.0,92.1,6.9,0,0.6,0.1,25.6,https://api.waqi.info/feed/Barcelona/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,41.38534,2.153822,2020-04-21 22:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[0.1,6.9,25.6,5,0,0.6]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
19,BEIJING,pm10,17,17,0.0,13.5,5.5,13,0.6,1.9,25.2,https://api.waqi.info/feed/BEIJING/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,39.954592,116.468117,2020-04-22 06:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[1.9,5.5,25.2,17,13,0.6]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
20,Belem,pm25,89,55,0.0,36.2,25.3,89,0.0,3.4,0.0,https://api.waqi.info/feed/Belem/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,31.768319,35.21371,2020-04-22 00:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[3.4,25.3,0.0,55,89,0.0]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
21,BELGRADE,pm25,54,13,4.0,68.0,2.4,54,2.7,3.9,0.0,https://api.waqi.info/feed/BELGRADE/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,44.79880556,20.450305555556,2020-04-21 22:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[3.9,2.4,0.0,13,54,2.7]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
22,BERLIN,pm10,45,45,0.0,46.0,12.4,0,0.0,0.0,33.3,https://api.waqi.info/feed/BERLIN/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,52.5200066,13.404954,2020-04-22 00:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[0.0,12.4,33.3,45,0,0.0]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
23,Bhopal,pm25,155,75,12.8,33.0,7.8,155,8.7,7.5,17.2,https://api.waqi.info/feed/Bhopal/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,23.233584,77.400574,2020-04-22 04:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[7.5,7.8,17.2,75,155,8.7]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
24,Birmingham,pm25,52,24,0.0,82.0,3.8,52,0.0,0.0,31.3,https://api.waqi.info/feed/Birmingham/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,52.486243,-1.890401,2020-04-21 22:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[0.0,3.8,31.3,24,52,0.0]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
25,BOGOTA,pm25,59,10,12.0,67.0,3.5,59,0.5,4.6,7.6,https://api.waqi.info/feed/BOGOTA/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,4.5725,-74.0836,2020-04-21 17:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[4.6,3.5,7.6,10,59,0.5]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
26,BRASILIA,pm25,57,17,15.0,77.0,5.1,57,0.6,1.9,26.4,https://api.waqi.info/feed/BRASILIA/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,-23.618442773,-46.556353938,2020-04-21 19:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[1.9,5.1,26.4,17,57,0.6]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
27,Brisbane,pm25,63,28,0.0,65.6,0.0,63,0.0,0.0,0.0,https://api.waqi.info/feed/Brisbane/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,-27.4774,153.028,2020-04-22 08:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[0.0,0.0,0.0,28,63,0.0]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
28,BUCHAREST,pm10,16,16,-2.9,41.4,11.4,0,0.0,0.0,0.0,https://api.waqi.info/feed/BUCHAREST/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,44.435029,26.098609,2020-04-22 01:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[0.0,11.4,0.0,16,0,0.0]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
29,BUDAPEST,pm25,40,30,0.0,38.0,18.9,40,3.1,4.0,8.8,https://api.waqi.info/feed/BUDAPEST/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,47.508605,19.02764,2020-04-21 23:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[4.0,18.9,8.8,30,40,3.1]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
30,BUENOS AIRES,pm25,46,15,0.0,80.0,0.0,46,1.1,0.1,10.2,https://api.waqi.info/feed/BUENOS%20AIRES/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,-34.657988,-58.342538,2020-04-21 18:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[0.1,0.0,10.2,15,46,1.1]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
31,Bursa,pm10,32,32,4.5,73.0,14.3,74,5.2,21.6,16.4,https://api.waqi.info/feed/Bursa/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,40.19572,29.04588,2020-04-21 23:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[21.6,14.3,16.4,32,74,5.2]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
32,Busan,pm25,30,20,0.0,42.0,7.5,30,4.3,4.5,31.2,https://api.waqi.info/feed/Busan/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,35.1795543,129.0756416,2020-04-22 07:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[4.5,7.5,31.2,20,30,4.3]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
33,Campinas,pm10,15,15,10.0,41.0,0.0,0,0.0,3.7,0.0,https://api.waqi.info/feed/Campinas/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,-22.902524804,-47.057210743,2020-04-21 19:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[3.7,0.0,0.0,15,0,0.0]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
34,Changchun,pm25,17,9,0.0,80.0,6.4,17,1.1,3.2,20.4,https://api.waqi.info/feed/Changchun/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,43.816964,125.323471,2020-04-22 06:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[3.2,6.4,20.4,9,17,1.1]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
35,Changsha,pm25,153,44,0.0,100.0,7.4,153,3.6,6.4,14.7,https://api.waqi.info/feed/Changsha/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,28.228209,112.938814,2020-04-22 06:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[6.4,7.4,14.7,44,153,3.6]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
36,Changzhou,pm25,80,47,0.0,92.3,11.9,80,3.6,3.7,0.0,https://api.waqi.info/feed/Changzhou/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,31.810077,119.974454,2020-04-22 05:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[3.7,11.9,0.0,47,80,3.6]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
37,Chelyabinsk,pm25,72,21,7.0,100.0,2.9,72,0.0,30.7,39.9,https://api.waqi.info/feed/Chelyabinsk/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,55.17616,61.48267,2020-04-21 23:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[30.7,2.9,39.9,21,72,0.0]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
38,Chengdu,pm25,63,37,0.0,62.0,7.4,63,4.1,4.5,24.0,https://api.waqi.info/feed/Chengdu/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,30.6250145,104.0670559,2020-04-22 06:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[4.5,7.4,24.0,37,63,4.1]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
39,Chennai,pm25,38,0,0.0,80.0,0.0,38,0.0,0.0,0.0,https://api.waqi.info/feed/Chennai/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,13.08784,80.27847,2020-04-21 21:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[0.0,0.0,0.0,0,38,0.0]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
40,Chicago,,-,0,0.0,37.7,0.0,13,0.0,0.0,0.0,https://api.waqi.info/feed/Chicago/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,41.9136,-87.7239,2020-04-16 13:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[0.0,0.0,0.0,0,13,0.0]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
41,CONAKRY,pm25,114,0,24.0,74.0,0.0,114,0.0,0.0,0.0,https://api.waqi.info/feed/CONAKRY/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,9.5951,-13.6364,2020-04-21 22:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[0.0,0.0,0.0,0,114,0.0]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
42,COPENHAGEN,pm25,28,15,0.0,61.0,9.1,28,0.7,1.9,25.4,https://api.waqi.info/feed/COPENHAGEN/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,55.6750137,12.5693995,2020-04-21 22:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[1.9,9.1,25.4,15,28,0.7]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
43,Cordoba,o3,31,8,11.0,87.0,1.9,0,0.6,0.1,30.9,https://api.waqi.info/feed/Cordoba/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,37.8935004,-4.7711062,2020-04-21 20:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[0.1,1.9,30.9,8,0,0.6]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
44,Daegu,pm25,46,40,0.0,43.0,3.8,46,4.3,5.6,30.4,https://api.waqi.info/feed/Daegu/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,35.8714354,128.601445,2020-04-22 07:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[5.6,3.8,30.4,40,46,4.3]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
45,Daejon,pm10,51,51,0.0,48.0,11.2,34,4.3,4.5,22.4,https://api.waqi.info/feed/Daejon/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,36.3504119,127.3845475,2020-04-22 07:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[4.5,11.2,22.4,51,34,4.3]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
46,Dalian,pm10,63,63,0.0,26.0,4.6,42,3.1,3.7,28.9,https://api.waqi.info/feed/Dalian/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,38.914003,121.614682,2020-04-22 06:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[3.7,4.6,28.9,63,42,3.1]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
47,Dallas,o3,45,0,14.0,39.0,5.0,0,0.0,0.0,44.8,https://api.waqi.info/feed/Dallas/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,32.8200608,-96.8601165,2020-04-21 16:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[0.0,5.0,44.8,0,0,0.0]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
48,Datong,pm10,94,94,0.0,37.9,20.2,91,30.4,18.1,14.3,https://api.waqi.info/feed/Datong/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,40.076816,113.300126,2020-04-22 06:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[18.1,20.2,14.3,94,91,30.4]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
49,DELHI,pm25,152,0,12.0,44.0,0.0,152,0.0,0.0,0.0,https://api.waqi.info/feed/DELHI/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,28.63576,77.22445,2020-04-22 03:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[0.0,0.0,0.0,0,152,0.0]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
50,DHAKA,pm25,168,0,20.0,83.0,0.0,168,0.0,0.0,0.0,https://api.waqi.info/feed/DHAKA/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,23.796373,90.424614,2020-04-22 03:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[0.0,0.0,0.0,0,168,0.0]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
51,Dnipropetrovsk,pm25,18,8,-3.0,41.72,0.0,18,0.0,0.0,0.0,https://api.waqi.info/feed/Dnipropetrovsk/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,48.458139,35.052214,2020-04-22 02:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[0.0,0.0,0.0,8,18,0.0]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
52,Durban,pm25,59,26,0.0,94.0,0.0,59,3.7,0.0,0.0,https://api.waqi.info/feed/Durban/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,-29.858283,31.027286,2020-04-22 00:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[0.0,0.0,0.0,26,59,3.7]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
53,Ecatepec,pm25,72,48,0.0,30.0,8.4,72,4.3,6.7,68.6,https://api.waqi.info/feed/Ecatepec/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,19.532968,-99.030324,2020-04-21 17:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[6.7,8.4,68.6,48,72,4.3]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
54,Foshan,pm25,38,20,0.0,93.0,8.7,38,2.6,9.1,10.6,https://api.waqi.info/feed/Foshan/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,23.021548,113.121416,2020-04-22 06:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[9.1,8.7,10.6,20,38,2.6]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
55,Fukuoka,pm25,46,14,0.0,37.1,6.5,46,1.5,3.4,37.6,https://api.waqi.info/feed/Fukuoka/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,33.5903547,130.4017155,2020-04-22 06:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[3.4,6.5,37.6,14,46,1.5]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
56,Fuzhou,pm25,17,8,0.0,87.0,4.6,17,2.1,6.4,66.9,https://api.waqi.info/feed/Fuzhou/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,26.074508,119.296494,2020-04-22 06:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[6.4,4.6,66.9,8,17,2.1]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
57,Guadalajara,o3,54,34,0.0,9.0,7.1,0,0.0,1.7,53.6,https://api.waqi.info/feed/Guadalajara/?token=bd172ccd0d19725d38d3d7086152eb37525dfec4,20.680450840176,-103.39873310432,2020-04-21 17:00:00,100,101,102,103,104,105,"""CO""","""NO2""","""O3""","""PM10""","""PM25""","""SO2""","[100,101,102,103,104,105]","[1.7,7.1,53.6,34,0,0.0]","[""CO"",""NO2"",""O3"",""PM10"",""PM25"",""SO2""]"
